id,name,prep_time,cook_time,cal,main,ing_name,ing_q
1,baked ratatouille fusilloni with goats' cheese,5,35,552,vegetarian,red onion,1
1,baked ratatouille fusilloni with goats' cheese,5,35,552,vegetarian,courgette,1
1,baked ratatouille fusilloni with goats' cheese,5,35,552,vegetarian,red pepper,1
1,baked ratatouille fusilloni with goats' cheese,5,35,552,vegetarian,garlic clove,2
1,baked ratatouille fusilloni with goats' cheese,5,35,552,vegetarian,basil,5
1,baked ratatouille fusilloni with goats' cheese,5,35,552,vegetarian,pasta fusilloni,200
1,baked ratatouille fusilloni with goats' cheese,5,35,552,vegetarian,finely chopped tomatoes,210
1,baked ratatouille fusilloni with goats' cheese,5,35,552,vegetarian,henderson's relish,15
1,baked ratatouille fusilloni with goats' cheese,5,35,552,vegetarian,dried basil,1
1,baked ratatouille fusilloni with goats' cheese,5,35,552,vegetarian,soft goat cheese,75
1,baked ratatouille fusilloni with goats' cheese,5,35,552,vegetarian,chili flakes,0.5
1,baked ratatouille fusilloni with goats' cheese,5,35,552,vegetarian,stock vegetable,1
2,One-pot minty lamb & potato stew,5,35,473,lamb,red onion,1
2,One-pot minty lamb & potato stew,5,35,473,lamb,mint,10
2,One-pot minty lamb & potato stew,5,35,473,lamb,bay leaf,1
2,One-pot minty lamb & potato stew,5,35,473,lamb,chantenay carrots,160
2,One-pot minty lamb & potato stew,5,35,473,lamb,tomato paste,32
2,One-pot minty lamb & potato stew,5,35,473,lamb,beef stock,1
2,One-pot minty lamb & potato stew,5,35,473,lamb,garlic clove,3
2,One-pot minty lamb & potato stew,5,35,473,lamb,mint sauce,20
2,One-pot minty lamb & potato stew,5,35,473,lamb,lamb mince,250
2,One-pot minty lamb & potato stew,5,35,473,lamb,marmite,8
2,One-pot minty lamb & potato stew,5,35,473,lamb,potato,2
2,One-pot minty lamb & potato stew,5,35,473,lamb,henderson's relish,15
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,
,,,,,,red onion,